Date,Instagram reach
2023-01-01,10839
2023-01-02,26085
2023-01-03,23123
2023-01-04,15632
2023-01-05,6419
2023-01-06,10902
2023-01-07,21138
2023-01-08,17742
2023-01-09,20924
2023-01-10,6798
2023-01-11,29642
2023-01-12,6326
2023-01-13,29322
2023-01-14,25107
2023-01-15,21392
2023-01-16,26405
2023-01-17,20527
2023-01-18,9524
2023-01-19,24434
2023-01-20,11967
2023-01-21,6685
2023-01-22,14291
2023-01-23,13860
2023-01-24,16761
2023-01-25,14945
2023-01-26,14354
2023-01-27,29124
2023-01-28,20556
2023-01-29,5364
2023-01-30,19828
2023-01-31,16343
2023-02-01,6008
2023-02-02,5284
2023-02-03,15681
2023-02-04,15354
2023-02-05,25350
2023-02-06,8588
2023-02-07,8555
2023-02-08,8154
2023-02-09,7895
2023-02-10,24717
2023-02-11,24826
2023-02-12,23783
2023-02-13,8812
2023-02-14,25045
2023-02-15,7991
2023-02-16,24996
2023-02-17,28818
2023-02-18,22586
2023-02-19,6159
2023-02-20,21261
2023-02-21,25504
2023-02-22,10980
2023-02-23,27014
2023-02-24,9167
2023-02-25,8635
2023-02-26,28613
2023-02-27,12960
2023-02-28,17504
2023-03-01,18101
2023-03-02,21744
2023-03-03,18111
2023-03-04,23098
2023-03-05,8122
2023-03-06,19673
2023-03-07,8619
2023-03-08,23818
2023-03-09,16624
2023-03-10,19621
2023-03-11,20262
2023-03-12,28879
2023-03-13,8805
2023-03-14,16954
2023-03-15,17796
2023-03-16,18144
2023-03-17,21357
2023-03-18,6194
2023-03-19,22315
2023-03-20,18396
2023-03-21,14549
2023-03-22,20321
2023-03-23,6932
2023-03-24,29024
2023-03-25,23487
2023-03-26,22122
2023-03-27,27665
2023-03-28,25733
2023-03-29,13873
2023-03-30,26136
2023-03-31,29563
2023-04-01,24989
2023-04-02,26457
2023-04-03,21652
2023-04-04,7741
2023-04-05,25921
2023-04-06,18434
2023-04-07,29787
2023-04-08,29484
2023-04-09,9944
2023-04-10,25753
2023-04-11,22226
2023-04-12,16922
2023-04-13,18303
2023-04-14,14138
2023-04-15,11112
2023-04-16,20666
2023-04-17,9430
2023-04-18,17354
2023-04-19,20745
2023-04-20,28361
2023-04-21,8534
2023-04-22,15731
2023-04-23,5868
2023-04-24,10705
2023-04-25,21669
2023-04-26,25077
2023-04-27,8190
2023-04-28,23032
2023-04-29,21534
2023-04-30,20515
2023-05-01,11990
2023-05-02,19453
2023-05-03,5101
2023-05-04,24227
2023-05-05,18604
2023-05-06,13550
2023-05-07,24608
2023-05-08,19565
2023-05-09,19641
2023-05-10,19855
2023-05-11,17745
2023-05-12,9361
2023-05-13,23749
2023-05-14,24889
2023-05-15,12159
2023-05-16,23306
2023-05-17,11614
2023-05-18,11999
2023-05-19,16237
2023-05-20,15546
2023-05-21,24778
2023-05-22,20624
2023-05-23,20723
2023-05-24,20848
2023-05-25,19783
2023-05-26,28190
2023-05-27,19411
2023-05-28,27965
2023-05-29,17065
2023-05-30,13504
2023-05-31,28434
2023-06-01,17307
2023-06-02,14964
2023-06-03,24574
2023-06-04,28929
2023-06-05,23130
2023-06-06,27630
2023-06-07,12198
2023-06-08,23361
2023-06-09,28681
2023-06-10,23333
2023-06-11,19237
2023-06-12,7146
2023-06-13,23982
2023-06-14,17847
2023-06-15,9473
2023-06-16,7110
2023-06-17,14051
2023-06-18,26046
2023-06-19,18016
2023-06-20,22498
2023-06-21,15187
2023-06-22,15789
2023-06-23,18177
2023-06-24,26546
2023-06-25,22831
2023-06-26,11613
2023-06-27,14141
2023-06-28,28351
2023-06-29,29104
2023-06-30,19717
2023-07-01,29210
2023-07-02,23907
2023-07-03,11085
2023-07-04,10152
2023-07-05,29769
2023-07-06,13274
2023-07-07,19317
2023-07-08,16937
2023-07-09,11896
2023-07-10,13675
2023-07-11,20987
2023-07-12,28407
2023-07-13,8276
2023-07-14,25395
2023-07-15,20995
2023-07-16,23971
2023-07-17,26598
2023-07-18,6223
2023-07-19,9772
2023-07-20,6986
2023-07-21,26629
2023-07-22,24945
2023-07-23,10030
2023-07-24,21747
2023-07-25,21599
2023-07-26,29803
2023-07-27,7735
2023-07-28,20484
2023-07-29,16949
2023-07-30,15631
2023-07-31,8180
2023-08-01,9747
2023-08-02,22948
2023-08-03,7725
2023-08-04,15458
2023-08-05,17193
2023-08-06,26295
2023-08-07,19129
2023-08-08,21736
2023-08-09,18058
2023-08-10,21208
2023-08-11,16682
2023-08-12,22686
2023-08-13,27848
2023-08-14,20966
2023-08-15,13298
2023-08-16,6314
2023-08-17,8757
2023-08-18,29679
2023-08-19,27789
2023-08-20,24978
2023-08-21,17586
2023-08-22,5077
2023-08-23,9007
2023-08-24,9443
2023-08-25,26337
2023-08-26,9431
2023-08-27,22470
2023-08-28,20025
2023-08-29,25026
2023-08-30,28574
2023-08-31,5750
2023-09-01,6133
2023-09-02,9964
2023-09-03,25214
2023-09-04,12721
2023-09-05,16807
2023-09-06,18489
2023-09-07,24191
2023-09-08,16979
2023-09-09,14024
